Aaron Connolly,-3.4
Aaron Cresswell,1.2
Aaron Hickey,-0.3
Aaron Lennon,0.9
Aaron Mooy,-0.3
Aaron Ramsdale,0
Aaron Wan-Bissaka,-0.8
Abdoulaye Doucouré,-1.2
Aboubakar Kamara,-0.5
Adam Armstrong,-3.1
Adam Forshaw,-0.5
Adam Idah,-2.3
Adam Lallana,-0.4
Adam Masina,-0.2
Adam Smith,-1.3
Adam Webster,0.2
Adama Traoré,-1
Ademola Lookman,-0.8
Adrian Mariappa,-0.2
Adrián,0
Ahmed Elmohamady,0.4
Ahmed Hegazi,0
Ainsley Maitland-Niles,-1.2
Akin Famewo,0
Albert Sambi Lokonga,-0.6
Albian Ajeti,-0.2
Alejandro Garnacho,0.4
Aleksandar Mitrović,-4.5
Alex Iwobi,-2.7
Alex Král,0
Alex McCarthy,0
Alex Oxlade-Chamberlain,2.3
Alex Telles,-0.6
Alexander Isak,1.6
Alexander Mighten,0
Alexander Tettey,0.2
Alexandre Jankewitz,0
Alexandre Lacazette,-1.2
Alexis Mac Allister,-3.6
Alireza Jahanbakhsh,-0.1
Alisson,0.9
Allan,-0.5
Allan Saint-Maximin,-0.6
Allan Tchaptchet,0
Alphonse Areola,0
Amad Diallo,0
Amadou Onana,-1.9
Andi Zeqiri,-0.7
Andre Gray,-0.4
Andre-Frank Zambo Anguissa,-1.6
Andreas Christensen,-1.2
Andreas Pereira,-4.5
Andrew Moran,0
Andrew Omobamidele,0.8
Andrew Robertson,0
Andrew Surman,0
Andriy Yarmolenko,2.5
Andros Townsend,0.1
André Ayew,-1
André Gomes,-1.4
Andy Carroll,-1
Angel Gomes,0
Angeliño,-0.2
Angelo Ogbonna,1.9
Angus Gunn,0
Anthony Elanga,-0.7
Anthony Gordon,-0.5
Anthony Martial,2.5
Antoine Semenyo,-0.2
Antonee Robinson,-0.5
Antonio Rüdiger,1.5
Antony,-0.8
Antwoine Hackford,-0.1
Anwar El Ghazi,-0.7
Armando Broja,0.3
Armel Bella Kotchap,-1
Arnaut Danjuma,-0.4
Arthur Masuaku,0.3
Ashley Barnes,-2.4
Ashley Fletcher,-0.6
Ashley Westwood,2.1
Ashley Young,0.2
Asmir Begović,0
Axel Tuanzebe,-0.1
Aymeric Laporte,-1.6
Ayoze Pérez,-0.5
Bailey Peacock-Farrell,0
Bali Mumba,0
Ben Chilwell,5.5
Ben Davies,-0.7
