Year,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR
2022-2023,Brenden Aaronson,us USA,MFFW,Leeds United,22-183,2000,31,28,2273,25.3,1,3,0,0,2,0,3.6,3.6,4.2,43,84,143
2022-2023,Che Adams,sct SCO,FW,Southampton,26-284,1996,25,22,1873,20.8,5,3,0,0,1,0,5.9,5.9,2.8,14,30,96
2022-2023,Tyler Adams,us USA,MF,Leeds United,24-068,1999,24,24,2156,24,0,0,0,0,6,1,0.1,0.1,1.4,19,136,20
2022-2023,Tosin Adarabioyo,eng ENG,DF,Fulham,25-211,1997,18,16,1455,16.2,1,0,0,0,3,0,0.4,0.4,0.2,15,64,3
2022-2023,Nayef Aguerd,ma MAR,DF,West Ham,27-024,1996,12,11,1055,11.7,1,0,0,0,3,0,1.4,1.4,0.4,2,17,4
2022-2023,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-025,2002,7,0,93,1,0,0,0,0,1,0,0.2,0.2,0.1,1,2,11
2022-2023,Rayan Aït Nouri,dz ALG,DF,Wolves,21-321,2001,20,9,1031,11.5,1,0,0,0,4,0,0.7,0.7,1,30,43,76
2022-2023,Kristoffer Ajer,no NOR,DF,Brentford,25-006,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0,10,31,12
2022-2023,Manuel Akanji,ch SUI,DF,Manchester City,27-278,1995,23,19,1856,20.6,0,1,0,0,2,0,1.2,1.2,0.3,21,91,10
2022-2023,Nathan Aké,nl NED,DF,Manchester City,28-064,1995,23,19,1683,18.7,0,0,0,0,2,0,1,1,0.6,22,128,28
2022-2023,Marc Albrighton,eng ENG,FWMF,Leicester City,33-156,1989,6,1,237,2.6,1,0,0,0,0,0,0.3,0.3,0.9,4,7,18
2022-2023,Thiago Alcántara,es ESP,MF,Liverpool,32-012,1991,17,14,1222,13.6,0,0,0,0,2,0,0.4,0.4,1.1,13,118,23
2022-2023,Carlos Alcaraz,ar ARG,MFFW,Southampton,20-144,2002,12,7,556,6.2,3,1,0,0,2,0,1,1,0.5,9,14,21
2022-2023,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-198,1998,30,27,2293,25.5,1,6,0,0,4,0,1.7,1.7,8.8,34,190,121
2022-2023,Alisson,br BRA,GK,Liverpool,30-203,1992,31,31,2790,31,0,1,0,0,0,0,0,0,0.3,0,2,0
2022-2023,Dele Alli,eng ENG,MF,Everton,27-012,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,1,1
